,Title,Publisher,Resource,Jurisdiction_x,Portal,0_Data_desc,0_Data_format,0_Data_page,0_Data_title,0_Data_url,1_Data_desc,1_Data_format,1_Data_page,1_Data_title,1_Data_url,2_Data_desc,2_Data_format,2_Data_page,2_Data_title,2_Data_url,3_Data_desc,3_Data_format,3_Data_page,3_Data_title,3_Data_url,4_Data_desc,4_Data_format,4_Data_page,4_Data_title,4_Data_url,5_Data_desc,5_Data_format,5_Data_page,5_Data_title,5_Data_url,6_Data_desc,6_Data_format,6_Data_page,6_Data_title,6_Data_url,7_Data_format,7_Data_page,7_Data_title,7_Data_url,8_Data_format,8_Data_page,8_Data_title,8_Data_url,Contact Point,Data Portal,Data Status,Date Published,Date Updated,Description,Field,Fields of Research,Geospatial Coverage,Geospatial Topics,Jurisdiction_y,Landing Page,Language,Licence,Publisher/Agency,RDF,Tag_0,Tag_1,Tag_10,Tag_11,Tag_12,Tag_13,Tag_14,Tag_15,Tag_16,Tag_17,Tag_18,Tag_19,Tag_2,Tag_20,Tag_21,Tag_22,Tag_23,Tag_24,Tag_25,Tag_26,Tag_27,Tag_28,Tag_29,Tag_3,Tag_30,Tag_31,Tag_32,Tag_33,Tag_34,Tag_35,Tag_36,Tag_37,Tag_38,Tag_39,Tag_4,Tag_40,Tag_41,Tag_5,Tag_6,Tag_7,Tag_8,Tag_9,Temporal Coverage,Type,URL,Update Frequency
111,Three Rivers 1:100 000 unpublished topographic map,Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Download the map (pdf),PDF,https://data.gov.au/dataset/three-rivers-1-100-000-unpublished-topographic-map/resource/9f5ff367-202e-4d99-8502-7541ebc6bf3b,File download,https://d28rz98at9flks.cloudfront.net/58343/2747.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,At this scale 1cm on the map represents 1km on the ground. Each map covers a minimum area of 0.5 degrees longitude by 0.5 degrees latitude or about 54 kilometres by 54 kilometres. The contour interval is 20 metres. Many maps are supplemented by hill  shading.,None,," {""type"": ""Polygon"", ""coordinates"": [[[119.0, -25.5], [119.5, -25.5], [119.5, -25.0], [119.0, -25.0], [119.0, -25.5]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/942770cb-ab86-48c9-86c2-93927fdfdd32 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/942770cb-ab86-48c9-86c2-93927fdfdd32.rdf,100K unpublished,AU-WA,,,,,,,,,,,Topographic Map,,,,,,,,,,,Topology,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/three-rivers-1-100-000-unpublished-topographic-map, unknown
112,AUSGeoid98 v.1.0 data files:  (sk49-01),Geoscience Australia                 ,ZIP, Commonwealth of Australia, Geoscience Australia CSW Harvester,Download the file (.dat),ZIP,https://data.gov.au/dataset/ausgeoid98-v-1-0-data-files-sk49-01/resource/4df1a0ad-ac66-49d6-b085-8a8d8f2a5631,File download,https://d28rz98at9flks.cloudfront.net/61942/61942_sk49-01.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,"AUSGeoid98 data files contain a 2 minute grid of AUSGeoid98 data covering the Australian region, which you can use to interpolate geoid-ellipsoid separations for the positions required.You can use your own interpolation software, or you can use Geoscience Australia's Windows Interpolation software (Winter). The data files are text files in a standard format that cover the same area as standard topographic map areas. Files covering both 1:250,000 (approximately 100 x 150 km) and 1:1,000,000 (approximately 400 x 600 km) map areas are available. There is a 4 minute overlap on all sides of each area. Data format: AUSGeoid98 data files have a header record at the start of each file, to distinguish them from the superseded AUSGeoid93 data files. AUSGeoid98 data files show the geoid-ellipsoid separation to 3 decimal places, while the superseded AUSGeoid93 data files showed only 2 decimal places. AUSGeoid98 deflections of the vertical were computed from the geoid-ellipsoid separation surface, while the AUSGeoid93 deflections of the vertical were computed from OSU91A.",None,," {""type"": ""Polygon"", ""coordinates"": [[[108.0, -41.0], [109.5, -41.0], [109.5, -40.0], [108.0, -40.0], [108.0, -41.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/8250108a-516d-4364-84b7-44e10e43ecb5 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/8250108a-516d-4364-84b7-44e10e43ecb5.rdf,AU,AUSGeoid98,,,,,,,,,,,Geodesy,,,,,,,,,,,Geodetic Data,,,,,,,,,,,dataset,,,geodesy,,,,,,Dataset,https://data.gov.au/dataset/ausgeoid98-v-1-0-data-files-sk49-01, unknown
113,Widgiemooltha 1:250 000 GIS Dataset,Geoscience Australia                 ,KML, Commonwealth of Australia, Geoscience Australia CSW Harvester,Download the file (KML),KML,https://data.gov.au/dataset/widgiemooltha-1-250-000-gis-dataset/resource/ff6ff887-aead-4b6b-a9ac-2bc2d0747f62,File download,https://d28rz98at9flks.cloudfront.net/64716/64716_sh51-14_kml.zip,Download the file (pGDB),ZIP,https://data.gov.au/dataset/widgiemooltha-1-250-000-gis-dataset/resource/36e3f3c1-0df8-4e2f-a8b8-d3762c9b3be3,File download,https://d28rz98at9flks.cloudfront.net/64716/64716_sh51-14_pgdb.zip,Download the file (shp),SHP,https://data.gov.au/dataset/widgiemooltha-1-250-000-gis-dataset/resource/50b679b5-6208-47e9-bef4-7c2c7199d06f,File download,https://d28rz98at9flks.cloudfront.net/64716/64716_sh51-14_shp.zip,Download the file (tab),ZIP,https://data.gov.au/dataset/widgiemooltha-1-250-000-gis-dataset/resource/0a7fdaba-abe5-4108-8b07-c213a0c2752e,File download,https://d28rz98at9flks.cloudfront.net/64716/64716_sh51-14_tab.zip,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,This data is part of the series of maps that covers the whole of Australia at a scale of 1:250 000 (1cm on a map represents 2.5km on the ground) and comprises 513 maps. This is the largest scale at which published topographic maps cover the entire continent.  Data is downloadable in various distribution formats.,None,," {""type"": ""Polygon"", ""coordinates"": [[[121.5, -32.0], [123.0, -32.0], [123.0, -31.0], [121.5, -31.0], [121.5, -32.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/dfe3c4f5-1588-4184-bda3-18304256078a ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/dfe3c4f5-1588-4184-bda3-18304256078a.rdf,250K scale,AU-WA,,,,,,,,,,,Earth Sciences,,,,,,,,,,,GIS Dataset,,,,,,,,,,,dataset,,,topography,,,,,,Dataset,https://data.gov.au/dataset/widgiemooltha-1-250-000-gis-dataset, unknown
114,"Ginninderra Farm seismic test survey Canberra, Australian Capital Territory 1964",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/ginninderra-farm-seismic-test-survey-canberra-australian-capital-territory-1964/resource/16fa9e34-ec39-4311-9713-0a4a3242a17e,File download,https://d28rz98at9flks.cloudfront.net/11386/Rec1964_130.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,," {""type"": ""Polygon"", ""coordinates"": [[[149.0, -35.5], [149.5, -35.5], [149.5, -35.0], [149.0, -35.0], [149.0, -35.5]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/322333b3-d660-4cb3-83d1-feccccbdfce7 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/322333b3-d660-4cb3-83d1-feccccbdfce7.rdf,AU-ACT,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,seismics,,,,,,,,,Dataset,https://data.gov.au/dataset/ginninderra-farm-seismic-test-survey-canberra-australian-capital-territory-1964, unknown
115,Geological reconnaissance of Batonga River hydro-electric scheme,Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/geological-reconnaissance-of-batonga-river-hydro-electric-scheme/resource/5aeec45a-e268-4e9d-823d-98ed1032fddf,File download,https://d28rz98at9flks.cloudfront.net/10549/Rec1959_119.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,,,, Commonwealth of Australia,https://data.gov.au/dataset/00c9b0a8-5247-4fe4-a522-f67d1a211755 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/00c9b0a8-5247-4fe4-a522-f67d1a211755.rdf,Earth Sciences,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,geology,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/geological-reconnaissance-of-batonga-river-hydro-electric-scheme, unknown
116,AUSGeoid98 v.1.0 data files: Waigen (sg52-14),Geoscience Australia                 ,ZIP, Commonwealth of Australia, Geoscience Australia CSW Harvester,Download the file (.dat),ZIP,https://data.gov.au/dataset/ausgeoid98-v-1-0-data-files-waigen-sg52-14/resource/c1113df7-78e0-47ec-ba7a-49eae87aecee,File download,https://d28rz98at9flks.cloudfront.net/62475/62475_sg52-14.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,"AUSGeoid98 data files contain a 2 minute grid of AUSGeoid98 data covering the Australian region, which you can use to interpolate geoid-ellipsoid separations for the positions required.You can use your own interpolation software, or you can use Geoscience Australia's Windows Interpolation software (Winter). The data files are text files in a standard format that cover the same area as standard topographic map areas. Files covering both 1:250,000 (approximately 100 x 150 km) and 1:1,000,000 (approximately 400 x 600 km) map areas are available. There is a 4 minute overlap on all sides of each area. Data format: AUSGeoid98 data files have a header record at the start of each file, to distinguish them from the superseded AUSGeoid93 data files. AUSGeoid98 data files show the geoid-ellipsoid separation to 3 decimal places, while the superseded AUSGeoid93 data files showed only 2 decimal places. AUSGeoid98 deflections of the vertical were computed from the geoid-ellipsoid separation surface, while the AUSGeoid93 deflections of the vertical were computed from OSU91A.",None,," {""type"": ""Polygon"", ""coordinates"": [[[127.5, -28.0], [129.0, -28.0], [129.0, -27.0], [127.5, -27.0], [127.5, -28.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/d5a5a18b-664b-47a8-af00-5d04cdae686d ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/d5a5a18b-664b-47a8-af00-5d04cdae686d.rdf,AU,AUSGeoid98,,,,,,,,,,,Geodesy,,,,,,,,,,,Geodetic Data,,,,,,,,,,,dataset,,,geodesy,,,,,,Dataset,https://data.gov.au/dataset/ausgeoid98-v-1-0-data-files-waigen-sg52-14, unknown
117,"Benthic microbial metabolism in tropical mangrove forests, Timor Leste",Australian Institute of Marine Science                 ,HTML, Commonwealth of Australia, Australian Institute of Marine Science CSW Harvester,,HTML,https://data.gov.au/dataset/benthic-microbial-metabolism-in-tropical-mangrove-forests-timor-leste/resource/5ec9085b-f18a-412a-a4f3-dcc31b1fab5f,Point of truth URL of this metadata record,http://data.aims.gov.au/metadataviewer/faces/view.xhtml?uuid=6c0b009b-3303-4598-8a8d-af7838b3a67b,,HTML,https://data.gov.au/dataset/benthic-microbial-metabolism-in-tropical-mangrove-forests-timor-leste/resource/a308eb8c-fe9e-4c06-9426-154a460a3642,http://gcmd.nasa.gov/Resources/valids/archives/keyword_list.html,http://gcmd.nasa.gov/Resources/valids/archives/keyword_list.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Australian Institute of Marine Science  adc@aims.gov.au  , Australian Institute of Marine Science CSW Harvester, inactive,2017-06-24,2017-10-09,"Seven mangrove forests were sampled on the north (two stations, TL4, TL5) and south (BC1, SL1, SL2, TL6, TB1) coasts of Timor Leste. TL4 and TL5 were sampled at the end of the wet season (June 2007) and at the end of the dry season (October 2008), other stations were sampled once in October 2008. ",None,," {""type"": ""Polygon"", ""coordinates"": [[[125.2, -9.5], [125.9, -9.5], [125.9, -8.5], [125.2, -8.5], [125.2, -9.5]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/6f51162f-7a03-4df8-a56c-4ddb862b204a ,English, Other ,Australian Institute of Marine Science                 ,https://data.gov.au/dataset/6f51162f-7a03-4df8-a56c-4ddb862b204a.rdf,Biosphere,Canopy cover,Oceans,Organic Matter,Soils,,,,,,,,Coastal Processes,,,,,,,,,,,Ecological Dynamics,,,,,,,,,,,Ecosystem Functions %2C Biogeochemical Cycles,,,Ecosystem Functions %2C Biomass Dynamics,Ecosystem Functions %2C Primary Production,Inorganic carbon fluxes,Land Surface,Mangroves,,Dataset,https://data.gov.au/dataset/benthic-microbial-metabolism-in-tropical-mangrove-forests-timor-leste, notPlanned
118,AUSGeoid98 v.1.0 data files: St George (sh55-04),Geoscience Australia                 ,ZIP, Commonwealth of Australia, Geoscience Australia CSW Harvester,Download the file (.dat),ZIP,https://data.gov.au/dataset/ausgeoid98-v-1-0-data-files-st-george-sh55-04/resource/e645f500-cce0-464d-ac13-16686214bb5f,File download,https://d28rz98at9flks.cloudfront.net/63035/63035_sh55-04.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,"AUSGeoid98 data files contain a 2 minute grid of AUSGeoid98 data covering the Australian region, which you can use to interpolate geoid-ellipsoid separations for the positions required.You can use your own interpolation software, or you can use Geoscience Australia's Windows Interpolation software (Winter). The data files are text files in a standard format that cover the same area as standard topographic map areas. Files covering both 1:250,000 (approximately 100 x 150 km) and 1:1,000,000 (approximately 400 x 600 km) map areas are available. There is a 4 minute overlap on all sides of each area. Data format: AUSGeoid98 data files have a header record at the start of each file, to distinguish them from the superseded AUSGeoid93 data files. AUSGeoid98 data files show the geoid-ellipsoid separation to 3 decimal places, while the superseded AUSGeoid93 data files showed only 2 decimal places. AUSGeoid98 deflections of the vertical were computed from the geoid-ellipsoid separation surface, while the AUSGeoid93 deflections of the vertical were computed from OSU91A.",None,," {""type"": ""Polygon"", ""coordinates"": [[[148.5, -29.0], [150.0, -29.0], [150.0, -28.0], [148.5, -28.0], [148.5, -29.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/a3cd0c1b-b952-4a0f-8e79-49a730999821 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/a3cd0c1b-b952-4a0f-8e79-49a730999821.rdf,AU,AUSGeoid98,,,,,,,,,,,Geodesy,,,,,,,,,,,Geodetic Data,,,,,,,,,,,dataset,,,geodesy,,,,,,Dataset,https://data.gov.au/dataset/ausgeoid98-v-1-0-data-files-st-george-sh55-04, unknown
119,Southern Surveyor Voyage SS 03/93 Biological Data Overview,CSIRO Oceans and Atmosphere - Information and Data Centre                 ,PDF, Commonwealth of Australia, Australian Oceans Data Network CSW Harvester,CMAR - Data Centre - Southern Surveyor Voyage SS 3/93 Drop Net Zooplankton...,PDF,https://data.gov.au/dataset/southern-surveyor-voyage-ss-03-93-biological-data-overview/resource/5538e2d8-2ec3-4131-a576-7ced1cdf2172,Data Link,http://www.cmar.csiro.au/datacentre/process/data_files/BioData/PDFs/BOX_AB2012_1066/C2012_7171.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  CSIRO Oceans and Atmosphere - Information and Data Centre  data-requests-hf@csiro.au  , Australian Oceans Data Network CSW Harvester, inactive,2017-06-24,2017-06-24,"This record is an overview entry for biological data collected on Southern Surveyor cruise SS 03/93. This cruise took place in waters off southern Tasmania during 7-22 April 1993, under the leadership of Brian Griffiths. Biological data collected on this cruise include samples of demersal fish, midwater nekton and zooplankton to determine the vertical distribution and diurnal movements of these three groups, and samples for trophic analyses. Acoustic data for biomass estimates. Oceanographic samples to determine the vertical and horizontal distribution of biological properties of the water column. Please note: This metadata record is a preliminary entry derived from information in the cruise plan and/or cruise report. Individual data types - which may span several cruises - will be indexed separately within this metadata system in due course.",None,," {""type"": ""Polygon"", ""coordinates"": [[[146.0, -44.7], [147.0, -44.7], [147.0, -44.0], [146.0, -44.0], [146.0, -44.7]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/24ab0c9e-de13-444c-ace5-8a92ac86a938 ,English, Other ,CSIRO Oceans and Atmosphere - Information and Data Centre                 ,https://data.gov.au/dataset/24ab0c9e-de13-444c-ace5-8a92ac86a938.rdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/southern-surveyor-voyage-ss-03-93-biological-data-overview, notPlanned
120,"The post-Palaeozoic rocks of the Dalby-Goondiwindi area, Queensland and New South Wales",Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/the-post-palaeozoic-rocks-of-the-dalby-goondiwindi-area-queensland-and-new-south-wales/resource/ace5b369-9a30-414d-8159-fb01a7bce73c,File download,https://d28rz98at9flks.cloudfront.net/12734/Rec1972_053.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,,,, Commonwealth of Australia,https://data.gov.au/dataset/fa657748-1088-4f03-991d-8c929efefc6a ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/fa657748-1088-4f03-991d-8c929efefc6a.rdf,AU-NSW,AU-QLD,,,,,,,,,,,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,Record,,,geology,,,,,,Dataset,https://data.gov.au/dataset/the-post-palaeozoic-rocks-of-the-dalby-goondiwindi-area-queensland-and-new-south-wales, unknown
121,IMOS SOOP Underway Data from AIMS Vessel RV Cape Ferguson Trip 4898 From 14 Aug 2009 To 20 Aug 2009,Australian Institute of Marine Science                 ,HTML, Commonwealth of Australia, Australian Institute of Marine Science CSW Harvester,,HTML,https://data.gov.au/dataset/imos-soop-underway-data-from-aims-vessel-rv-cape-ferguson-trip-4898-from-14-aug-2009-to-20-2009/resource/c006f637-bfca-452d-9f2d-576f3e816b5d,Automatically Checked Underway Data - RV Cape Ferguson Trip 4898 From 14 Aug 2009 Until 20 Aug 2009 (Quality Controlled Data),"http://data.aims.gov.au/aimsrtds/datatool.xhtml?qc=level1&channels=37362,3834,3788,3880",,KML,https://data.gov.au/dataset/imos-soop-underway-data-from-aims-vessel-rv-cape-ferguson-trip-4898-from-14-aug-2009-to-20-2009/resource/64c9c406-d032-4079-b44f-a2ae96c7625e,Google Earth KML for trip:4898,http://data.aims.gov.au/gbroosdata/services/kml/underway/4898/level1,WMS Layer for underway data from trip:4898 from 14 Aug 2009 until 20 Aug 2009,WMS,https://data.gov.au/dataset/imos-soop-underway-data-from-aims-vessel-rv-cape-ferguson-trip-4898-from-14-aug-2009-to-20-2009/resource/87e7df6a-8b28-4711-87f2-e62f50030514,aims:AIMS_TRIP_4898,http://maps.aims.gov.au/geoserver/wms,,HTML,https://data.gov.au/dataset/imos-soop-underway-data-from-aims-vessel-rv-cape-ferguson-trip-4898-from-14-aug-2009-to-20-2009/resource/9a223c1c-7ac2-448b-9824-074c452b38fb,Point of truth URL of this metadata record,http://data.aims.gov.au/metadataviewer/faces/view.xhtml?uuid=043e424d-f62a-4060-b852-3e1e2a80d42c,,,,,,,,,,,,,,,,,,,,,,,,  Australian Institute of Marine Science  reception@aims.gov.au  , Australian Institute of Marine Science CSW Harvester, inactive,2017-06-24,2017-10-09,'Ships of Opportunity' (SOOP) is a facility of the Australian 'Integrated Marine Observing System' (IMOS) project. This data set was collected by the SOOP sub-facility 'Sensors on Tropical Research Vessels' aboard the RV Cape Ferguson Trip 4898.,None,," {""type"": ""Point"", ""coordinates"": [150.9668, -23.2057]}",, Commonwealth of Australia,https://data.gov.au/dataset/c5345dc9-5386-416a-a9b4-8499091e6361 ,English, Creative Commons Attribution 2.5 Australia ,Australian Institute of Marine Science                 ,https://data.gov.au/dataset/c5345dc9-5386-416a-a9b4-8499091e6361.rdf,Bathymetry,Bathymetry%2FSeafloor Topography,Ocean Temperature,Oceanography,Oceans,Physical Oceanography,Pigments %2C Chlorophyll,SOOP-TRV,Salinity%2FDensity,Sensors on Tropical Research Vessels,Thermosalinographs,Turbidity,Biological Oceanography,Water Temperature,,,,,,,,,,Chemical Oceanography,,,,,,,,,,,Conductivity,,,EARTH SCIENCES,Fluorescence,IMOS Sub-Facility,Ocean Chemistry,Ocean Optics,,Dataset,https://data.gov.au/dataset/imos-soop-underway-data-from-aims-vessel-rv-cape-ferguson-trip-4898-from-14-aug-2009-to-20-2009, asNeeded
122,Absorption of gamma rays from radium in air,Geoscience Australia                 ,PDF, Commonwealth of Australia, Geoscience Australia CSW Harvester,Record (pdf),PDF,https://data.gov.au/dataset/absorption-of-gamma-rays-from-radium-in-air/resource/789ce03d-7cc3-4371-b2d5-06230f662fa4,File download,https://d28rz98at9flks.cloudfront.net/10476/Rec1959_046.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,Legacy product - no abstract available,None,,,, Commonwealth of Australia,https://data.gov.au/dataset/75f614d2-3fbc-4f5d-92b9-a63004bca8d4 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/75f614d2-3fbc-4f5d-92b9-a63004bca8d4.rdf,Earth Sciences,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dataset,https://data.gov.au/dataset/absorption-of-gamma-rays-from-radium-in-air, unknown
123,AUSGeoid98 v.1.0 data files: Robinson River (se53-04),Geoscience Australia                 ,ZIP, Commonwealth of Australia, Geoscience Australia CSW Harvester,Download the file (.dat),ZIP,https://data.gov.au/dataset/ausgeoid98-v-1-0-data-files-robinson-river-se53-04/resource/d0aa0377-8703-45f4-a305-12a2c976d5e7,File download,https://d28rz98at9flks.cloudfront.net/62727/62727_se53-04.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,"AUSGeoid98 data files contain a 2 minute grid of AUSGeoid98 data covering the Australian region, which you can use to interpolate geoid-ellipsoid separations for the positions required.You can use your own interpolation software, or you can use Geoscience Australia's Windows Interpolation software (Winter). The data files are text files in a standard format that cover the same area as standard topographic map areas. Files covering both 1:250,000 (approximately 100 x 150 km) and 1:1,000,000 (approximately 400 x 600 km) map areas are available. There is a 4 minute overlap on all sides of each area. Data format: AUSGeoid98 data files have a header record at the start of each file, to distinguish them from the superseded AUSGeoid93 data files. AUSGeoid98 data files show the geoid-ellipsoid separation to 3 decimal places, while the superseded AUSGeoid93 data files showed only 2 decimal places. AUSGeoid98 deflections of the vertical were computed from the geoid-ellipsoid separation surface, while the AUSGeoid93 deflections of the vertical were computed from OSU91A.",None,," {""type"": ""Polygon"", ""coordinates"": [[[136.5, -17.0], [138.0, -17.0], [138.0, -16.0], [136.5, -16.0], [136.5, -17.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/6b147fae-3a6b-4735-aac8-f69ea0c1b089 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/6b147fae-3a6b-4735-aac8-f69ea0c1b089.rdf,AU,AUSGeoid98,,,,,,,,,,,Geodesy,,,,,,,,,,,Geodetic Data,,,,,,,,,,,dataset,,,geodesy,,,,,,Dataset,https://data.gov.au/dataset/ausgeoid98-v-1-0-data-files-robinson-river-se53-04, unknown
124,1996 Vulcan Sub-basin Airborne Laser Fluorosensor Survey Interpretation Report : (WGC Vulcan Graben Survey number 1113),Geoscience Australia                 ,ZIP, Commonwealth of Australia, Geoscience Australia CSW Harvester,Data,ZIP,https://data.gov.au/dataset/1996-vulcan-sub-basin-airborne-laser-fluorosensor-survey-interpretation-report-wgc-vulcan-1113/resource/7d918f86-4f50-4d9b-960f-14bdbb1d41ed,File download,https://d28rz98at9flks.cloudfront.net/31806/Data.zip,Record (pdf),PDF,https://data.gov.au/dataset/1996-vulcan-sub-basin-airborne-laser-fluorosensor-survey-interpretation-report-wgc-vulcan-1113/resource/3d60f966-03a8-4160-9f0f-85c57a2d0d35,File download,https://d28rz98at9flks.cloudfront.net/31806/Rec2000_033.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Geoscience Australia  clientservices@ga.gov.au  , Geoscience Australia CSW Harvester, inactive,2017-06-25,2017-06-25,"The Vulcan Graben airborne laser fluorosensor (ALF) survey is located in the Vulcan Sub-basin, Timor Sea. The survey was flown on December 2nd 1996. 149 lines were acquired at 300 m spacing in a NW-SE orientation. A total of 1,569,074 spectra were collected at an average spacing of 1.45 m to 1.65 m.Of the 183 fluors picked during the refined interpretation, 70 were large fluors with a F/R ratio larger then 0.3. Some of the fluor clusters may be related to leakage from the Skua Field and Spruce Prospect although direct correlation between fluor clusters and accumulations are not reliable. The fluorescence peak wavelength tends to move to longer values moving from the NE to the SW.",None,," {""type"": ""Polygon"", ""coordinates"": [[[124.0, -13.0], [125.0, -13.0], [125.0, -12.0], [124.0, -12.0], [124.0, -13.0]]]}",, Commonwealth of Australia,https://data.gov.au/dataset/3543a8c6-519f-4424-b30c-dc2be16c18b9 ,English, Creative Commons Attribution 4.0 International ,Geoscience Australia                 ,https://data.gov.au/dataset/3543a8c6-519f-4424-b30c-dc2be16c18b9.rdf,AU-WA,Earth Sciences,,,,,,,,,,,GA Publication,,,,,,,,,,,Record,,,,,,,,,,,petroleum exploration,,,remote sensing,,,,,,Dataset,https://data.gov.au/dataset/1996-vulcan-sub-basin-airborne-laser-fluorosensor-survey-interpretation-report-wgc-vulcan-1113, unknown
